"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.544737501E0,7.895520329E-1,-1.062381938E-1,9.872629642E-1
3.564737501E0,1.574636102E-1,1.272275209E0,1.170801759E0
3.584737501E0,-3.959279358E-1,1.442654252E0,1.209862232E0
3.604737501E0,-5.718396902E-1,8.777086139E-1,1.068281174E0
3.624737501E0,-4.245862365E-1,5.803219676E-1,6.220877171E-1
3.644737501E0,-3.403915763E-1,9.663189650E-1,3.377211988E-1
3.664737501E0,-9.285151958E-2,-1.179842558E-2,6.075316668E-1
3.684737501E0,-2.331759781E-2,1.576032303E-2,5.137551427E-1
3.704737501E0,3.187494874E-1,1.084373072E-1,8.967501670E-2
3.724737501E0,9.370847344E-1,3.455751836E-1,-1.386315078E-1
3.744737501E0,1.131496906E0,2.977531776E-2,-1.195201501E-1
3.764737501E0,8.016820550E-1,-3.014532626E-1,-2.892010473E-2
3.784737501E0,2.729869485E-1,-4.572588205E-1,-2.209412307E-1
3.804737501E0,1.062032878E-1,-5.013109446E-1,-6.473600864E-1
3.824737501E0,4.225965738E-1,-8.681966066E-1,-9.267349243E-1
3.844737501E0,9.614320397E-1,-1.961610436E0,-3.474077880E-1
3.864737501E0,1.371532083E0,-1.577515841E0,-2.450442314E-1
3.884737501E0,1.366261244E0,-8.414232135E-1,-5.244888663E-1
3.904737501E0,1.140275955E0,-2.689203322E-1,-7.215714455E-1
3.924737501E0,1.164117098E0,-5.792747810E-2,-2.079559863E-1
3.944737501E0,1.295976758E0,1.112647429E-1,8.451058865E-1
3.964737501E0,1.338859558E0,3.854036033E-1,1.427487373E0
3.984737501E0,1.280495763E0,3.585779071E-1,1.094199300E0
4.004737501E0,7.531445026E-1,5.194798112E-1,-3.780383244E-2
4.024737501E0,3.683866560E-1,5.025151968E-1,-2.493028343E-1
4.044737501E0,2.938087285E-1,1.363014817E0,2.908765674E-1
4.064737501E0,3.292912543E-1,1.924452424E0,8.289266825E-1
4.084737501E0,1.222952232E-1,1.660663366E0,5.913000703E-1
4.104737501E0,-3.016627133E-1,1.495066524E0,-1.226617396E-1
4.124737501E0,-1.112071395E0,7.734252214E-1,-7.654141188E-1
4.144737501E0,-1.711382627E0,4.175874889E-1,-5.958379507E-1
4.164737501E0,-1.717002511E0,7.408224344E-1,8.628907800E-2
4.184737501E0,-1.306396365E0,1.526587129E0,2.765823305E-1
4.204737501E0,-7.165798545E-1,1.997965693E0,7.414158434E-2
4.224737501E0,-6.229777932E-1,1.936355591E0,-8.777260780E-2
4.244737501E0,-8.534659743E-1,1.578824878E0,-2.527236752E-2
4.264737501E0,-1.298856616E0,7.042927146E-1,3.896098435E-1
4.284737501E0,-1.393348694E0,1.099836707E0,6.629633307E-1
4.304737501E0,-1.150817752E0,1.689042330E0,4.919734001E-1
4.324737501E0,-9.485166073E-1,1.801232100E0,2.610838115E-1
4.344737501E0,-1.016828775E0,1.363451242E0,-3.356442750E-1
4.364737501E0,-1.376069903E0,3.752457798E-1,-4.993736148E-1
4.384737501E0,-1.374673724E0,8.532914519E-2,-5.923647434E-2
4.404737501E0,-1.191291928E0,2.188642882E-2,1.246863231E-1
4.424737501E0,-1.569923639E0,-3.673568964E-1,-3.205820620E-1
4.444737501E0,-2.640351534E0,-5.462531447E-1,-7.856425047E-1
4.464737501E0,-3.688090086E0,-2.311339527E-1,-1.092994928E0
4.484737501E0,-4.414513588E0,-7.478561401E-1,-5.522745252E-1
4.504737501E0,-4.144563675E0,-1.039797306E0,2.878571451E-1
4.524737501E0,-3.374471903E0,-1.429093003E0,1.072382689E0
4.544737501E0,-2.639880180E0,-1.393226504E0,1.568736792E0
4.564737501E0,-1.951609731E0,-1.061701179E0,1.107533574E0
4.584737501E0,-1.205080032E0,-4.163832068E-1,2.756049335E-1
4.604737501E0,-5.682617426E-1,-7.806857824E-1,-2.064899057E-1
4.624737501E0,1.527686715E-1,-8.814785480E-1,-3.588047922E-1
4.644737501E0,4.045847654E-1,-6.513394117E-1,-4.729667604E-1
4.664737501E0,1.941853315E-1,-6.970845163E-2,-3.154333532E-1
4.684737501E0,-1.549328715E-1,4.282339811E-1,1.022588387E-1
4.704737501E0,-6.719168425E-1,-3.170041442E-1,3.197268546E-1
4.724737501E0,-9.411164522E-1,-1.556170464E0,1.968207806E-1
4.744737501E0,-1.111024261E0,-3.203255177E0,-4.756022245E-2
4.764737501E0,-9.214989543E-1,-5.260107994E0,-2.284635976E-2
4.784737501E0,-4.803669751E-1,-6.094130993E0,3.197966814E-1
4.804737501E0,-2.821848392E-1,-4.915737152E0,4.758465588E-1
4.824737501E0,-8.150861859E-1,-3.452139139E0,4.857076705E-1
4.844737501E0,-1.545803189E0,-1.222969651E0,5.939180851E-1
4.864737501E0,-1.445603848E0,5.323254317E-2,6.103416085E-1
4.884737501E0,-9.585697055E-1,5.954016447E-1,3.388556838E-1
4.904737501E0,-6.456496716E-1,8.462752700E-1,8.347909898E-2
4.924737501E0,-5.202128291E-1,-7.958701812E-3,3.318918049E-1
4.944737501E0,-4.769985005E-2,-7.336316705E-1,6.750235558E-1
4.964737501E0,2.896897495E-1,-1.770269990E0,8.762076497E-1
4.984737501E0,1.120152324E-1,-3.055076599E0,1.147065282E0
5.004737501E0,-3.387683928E-1,-3.185801744E0,1.394570470E0
5.024737501E0,-6.921975613E-1,-1.977335811E0,1.231574178E0
5.044737501E0,-8.160810471E-1,-2.796017379E-2,7.286924124E-1
5.064737501E0,-1.214574575E0,1.578248858E0,2.877000868E-1
5.084737501E0,-1.802942514E0,1.928309560E0,2.073276639E-1
5.104737501E0,-2.048737288E0,1.862999320E0,2.966535985E-1
5.124737501E0,-1.984840751E0,1.351548076E0,5.188514590E-1
5.144737501E0,-1.787321925E0,1.555158138E0,7.086909413E-1
5.164737501E0,-1.553465247E0,9.292307496E-1,1.109889746E0
5.184737501E0,-9.475218058E-1,-4.005530477E-2,1.372247696E0
5.204737501E0,-1.034456640E-1,-1.263443828E0,1.647433758E0
5.224737501E0,3.179815412E-1,-1.872127414E0,1.695500135E0
5.244737501E0,6.328215003E-1,-1.626960993E0,1.836173654E0
5.264737501E0,5.623276234E-1,-6.245311499E-1,2.084464073E0
5.284737501E0,2.508387268E-1,3.996803891E-3,2.335547209E0
5.304737501E0,2.778564095E-1,-1.121775508E0,1.553465247E0
5.324737501E0,-9.679596126E-2,-2.901435196E-1,8.755444288E-1
5.344737501E0,-9.041852951E-1,-1.083081484E0,1.172529697E0
5.364737501E0,-8.888089061E-1,-2.170089960E0,7.488160729E-1
5.384737501E0,-4.206767082E-1,-2.325686216E0,5.169665217E-1
5.404737501E0,3.008075058E-1,-1.596435189E0,5.963964462E-1
5.424737501E0,4.552167654E-1,-1.674521208E0,4.556007385E-1
5.444737501E0,2.842094004E-1,-8.432208896E-1,6.905569434E-1
5.464737501E0,1.888271719E-1,-3.499210477E-1,4.073947668E-1
5.484737501E0,-8.035495877E-2,-1.218745947E0,-6.376037002E-1
5.504737501E0,-2.721317410E-1,-1.670070648E0,-1.171656966E0
5.524737501E0,-3.315776587E-1,-1.072155714E0,-1.056901574E0
5.544737501E0,-3.705683053E-1,-1.576381326E-1,-8.130790591E-1
5.564737501E0,-3.145956099E-1,3.052057326E-1,-6.483723521E-1
5.584737501E0,-6.059783325E-2,-5.172632337E-1,-6.547428370E-1
5.604737501E0,3.351381123E-1,-1.979726911E0,-3.214896619E-1
5.624737501E0,5.783148408E-1,-3.662503719E0,5.335994959E-1
5.644737501E0,9.107127786E-2,-2.729555368E0,8.678300381E-1
5.664737501E0,-7.943691611E-1,-1.365894675E0,2.995159626E-1
5.684737501E0,-1.291491270E0,-6.648657322E-1,-1.485798806E-1
5.704737501E0,-1.460474014E0,-6.736272573E-1,-4.496491849E-1
5.724737501E0,-9.969844222E-1,-1.100273013E0,-5.262167752E-2
5.744737501E0,-5.290442109E-1,-1.300828815E0,2.895850241E-1
5.764737501E0,-2.638763189E-1,-6.519851685E-1,9.114108980E-2
5.784737501E0,1.467821896E-1,4.565781355E-2,-5.089554787E-1
5.804737501E0,9.280613661E-1,-5.950700045E-1,-6.346540451E-1
5.824737501E0,1.288646340E0,-1.167503119E0,-2.933025658E-1
5.844737501E0,9.407150149E-1,-1.080568194E0,-2.426007763E-3
5.864737501E0,3.332706094E-1,-6.888116598E-1,-1.620014608E-1
5.884737501E0,-1.047023013E-1,4.021238536E-2,-5.645791292E-1
5.904737501E0,-2.055823356E-1,4.155454338E-1,-9.381493926E-1
5.924737501E0,-1.011418328E-1,2.347816974E-1,-1.198727012E0
5.944737501E0,-2.551496923E-1,4.938234687E-1,-1.282642484E0
5.964737501E0,-4.155628979E-1,1.495363235E0,-1.403384328E0
5.984737501E0,-6.490879655E-1,2.406023741E0,-1.538996458E0
6.004737501E0,-5.465323925E-1,8.713730574E-1,-1.340011477E0
6.024737501E0,-6.129945517E-1,-4.705058634E-1,-1.023164392E0
6.044737501E0,-1.119174957E0,-7.229502797E-1,-7.057064176E-1
6.064737501E0,-1.257317781E0,-1.145005822E0,-2.534916103E-1
6.084737501E0,-9.855874181E-1,-1.620276451E0,2.628291249E-1
6.104737501E0,-7.097730637E-1,-1.678884506E0,6.367833614E-1
6.124737501E0,-5.686107874E-1,-1.447069883E0,5.609313846E-1
6.144737501E0,-8.711112738E-1,-1.102629185E0,-2.232625186E-1
6.164737501E0,-1.164658189E0,-9.672788978E-1,-9.403135777E-1
6.184737501E0,-1.166246414E0,-7.779805064E-1,-1.138827324E0
6.204737501E0,-7.803366780E-1,-6.274458766E-1,-1.013076305E0
6.224737501E0,-4.750262499E-1,-5.056044459E-1,-8.762425184E-1
6.244737501E0,-4.911705554E-1,-4.957084060E-1,-7.218506932E-1
6.264737501E0,-7.149741054E-1,-4.717799425E-1,-5.370552540E-1
6.284737501E0,-6.874852180E-1,-4.276754856E-1,-2.636843324E-1
6.304737501E0,-4.078310728E-1,-4.173256755E-1,4.731587693E-2
6.324737501E0,-2.116735280E-1,-5.001066327E-1,2.855882347E-1
6.344737501E0,-5.941100791E-2,-6.101496220E-1,3.448421657E-1
6.364737501E0,-7.225662936E-3,-6.620906591E-1,1.991071552E-1
6.384737501E0,1.473057922E-2,-3.487516940E-1,-3.495196402E-1
6.404737501E0,1.901885271E-1,-9.035569429E-2,-7.033851147E-1
6.424737501E0,4.333652556E-1,2.812772691E-1,-6.993010640E-1
6.444737501E0,4.768937528E-1,5.097582936E-1,-5.795190930E-1
6.464737501E0,2.550973296E-1,5.378406644E-1,-3.773576319E-1
6.484737501E0,-3.986331820E-2,3.536036909E-1,-2.272418700E-2
6.504737501E0,-3.017325103E-1,5.684537441E-2,3.263591230E-1
6.524737501E0,-3.361853063E-1,-1.725083441E-1,6.585476398E-1
6.544737501E0,-2.729520500E-1,2.984513063E-3,7.558497190E-1
6.564737501E0,-5.129173398E-1,-2.482730895E-1,4.912054539E-1
6.584737501E0,-9.155822396E-1,-2.591639459E-1,1.727875881E-2
6.604737501E0,-1.270355344E0,-1.695761830E-1,-5.941798687E-1
6.624737501E0,-1.374638796E0,1.837308109E-1,-1.115213037E0
6.644737501E0,-1.069694877E0,2.091777027E-1,-1.232638836E0
6.664737501E0,-7.421663404E-1,4.673991725E-2,-1.271402597E0
6.684737501E0,-6.093293428E-1,-1.527337581E-1,-1.488608718E0
6.704737501E0,-4.664217830E-1,-3.705159426E-1,-1.615546584E0
6.724737501E0,-1.631359309E-1,-4.243768156E-1,-1.438273430E0
6.744737501E0,1.385616958E-1,-2.303311080E-1,-1.184799314E0
6.764737501E0,4.033455849E-1,2.830924094E-2,-1.125091553E0
6.784737501E0,5.149244666E-1,-7.476990670E-2,-1.082208872E0
6.804737501E0,3.085741997E-1,-2.067167908E-1,-8.373216987E-1
6.824737501E0,-4.082325101E-2,1.392772701E-2,-5.216614604E-1
6.844737501E0,-4.658807218E-1,5.763775110E-1,-2.274163961E-1
6.864737501E0,-7.352199554E-1,6.756518483E-1,-1.547234356E-1
6.884737501E0,-8.599586487E-1,4.106236100E-1,-2.183755934E-1
6.904737501E0,-8.075813055E-1,6.091199070E-2,-3.430793583E-1
6.924737501E0,-5.356590152E-1,-1.814269722E-1,-5.342976451E-1
6.944737501E0,-6.736970693E-2,-2.731091082E-1,-6.971194148E-1
6.964737501E0,2.261772156E-1,-2.004161626E-1,-6.118426323E-1
6.984737501E0,2.449569553E-1,8.005825430E-2,-5.119400024E-1
7.004737501E0,3.649483621E-2,2.499660552E-1,-6.167644262E-1
7.024737501E0,-1.169719696E-1,2.597573400E-1,-6.534337997E-1
7.044737501E0,-2.659532726E-1,2.418153733E-1,-5.379802585E-1
7.064737501E0,-4.177794755E-1,6.498384476E-1,-4.260697663E-1
7.084737501E0,-1.357342601E-1,1.041193604E0,-4.178143740E-1
7.104737501E0,8.783718348E-1,1.345753551E0,-7.909308672E-1
7.124737501E0,1.761019707E0,3.709871769E-1,-1.419406414E0
7.144737501E0,1.785192609E0,-6.635741889E-2,-1.569068432E0
7.164737501E0,1.260197520E0,7.285178900E-1,-1.378461003E0
7.184737501E0,5.359207988E-1,8.504815102E-1,-1.030494690E0
7.204737501E0,-1.802401543E-1,3.527310491E-1,-3.855083287E-1
7.224737501E0,-5.103517175E-1,-3.581415489E-2,8.318064809E-1
7.244737501E0,-4.483227134E-1,4.084070213E-3,1.520530820E0
7.264737501E0,-2.946988344E-1,3.895400465E-1,1.699793577E0
7.284737501E0,-8.815658092E-2,8.540070653E-1,1.375249624E0
7.304737501E0,1.928414255E-1,1.088020802E0,7.504740953E-1
7.324737501E0,3.804817796E-1,1.172791481E0,4.570144713E-1
7.344737501E0,3.448247015E-1,1.142387748E0,4.981693327E-1
7.364737501E0,9.564404190E-2,1.106154799E0,6.929306388E-1
7.384737501E0,6.176720187E-2,7.871086001E-1,6.784443855E-1
7.404737501E0,6.659652591E-1,5.963964462E-1,6.199758649E-1
7.424737501E0,9.629505277E-1,8.673064709E-1,8.868541718E-1
7.444737501E0,1.093710542E0,4.923923016E-1,1.064493775E0
7.464737501E0,1.123136878E0,-1.351408362E-1,8.538150787E-1
7.484737501E0,1.298559904E0,-5.079082847E-1,5.744576454E-1
7.504737501E0,1.465413332E0,-1.648987085E-1,3.329913616E-1
7.524737501E0,1.761299014E0,7.674212754E-2,2.040115297E-1
7.544737501E0,1.931276679E0,4.257381558E-1,-2.484999746E-1
7.564737501E0,1.331459284E0,1.300793886E-1,-7.760781050E-1
7.584737501E0,3.306526244E-1,-1.247037724E-1,-4.914149046E-1
7.604737501E0,-6.677978635E-1,-6.416354179E-1,3.635520935E-1
7.624737501E0,-8.256803751E-1,-2.051634490E-1,9.485340714E-1
7.644737501E0,-4.692666829E-1,-3.637440801E-1,8.688772321E-1
7.664737501E0,-2.553591132E-1,-2.946814001E-1,8.141961098E-1
7.684737501E0,-3.827507049E-2,-8.096582443E-2,6.629633307E-1
7.704737501E0,7.155850064E-3,-1.595056355E-1,4.514643252E-1
