"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.413917490E0,4.048594832E-1,2.273916960E0,9.127596855E0
6.433914365E0,4.157674611E-1,2.281731606E0,9.166306496E0
6.453914365E0,4.369800985E-1,2.262702465E0,9.164304733E0
6.473917490E0,4.965861440E-1,2.257569313E0,9.159841537E0
6.493914365E0,5.064502358E-1,2.238770008E0,9.156422615E0
6.513915927E0,5.034814477E-1,2.239574432E0,9.137374878E0
6.533914365E0,5.178275108E-1,2.246795416E0,9.150668144E0
6.553915927E0,5.368374586E-1,2.252618074E0,9.132624626E0
6.573914365E0,5.336101055E-1,2.256812811E0,9.142066956E0
6.593914365E0,5.363873243E-1,2.282287121E0,9.160099983E0
6.613917490E0,4.703552723E-1,2.298280239E0,9.157898903E0
6.633915927E0,4.342315495E-1,2.290867805E0,9.147104263E0
6.653914365E0,3.801992238E-1,2.271618366E0,9.138514519E0
6.673914365E0,3.868263662E-1,2.242102861E0,9.152306557E0
6.693915927E0,4.506557882E-1,2.215613365E0,9.165568352E0
6.713915927E0,5.018534064E-1,2.208832979E0,9.180978775E0
6.733914365E0,5.204994082E-1,2.221694469E0,9.166077614E0
6.753914365E0,5.311967134E-1,2.245368481E0,9.155130386E0
6.773915927E0,5.271552801E-1,2.269741535E0,9.139356613E0
6.793914365E0,4.873349369E-1,2.264320850E0,9.138303757E0
6.813915927E0,4.509718120E-1,2.271139622E0,9.138572693E0
6.833915927E0,4.313297868E-1,2.285380363E0,9.153924942E0
6.853914365E0,4.191385210E-1,2.270210743E0,9.182826042E0
6.873914365E0,4.731516838E-1,2.259637833E0,9.192019463E0
6.893914365E0,5.057607293E-1,2.231558800E0,9.158943176E0
6.913917490E0,5.242152214E-1,2.225132704E0,9.127692223E0
6.933914365E0,5.124931931E-1,2.250175953E0,9.152248383E0
6.953915927E0,4.600793421E-1,2.232152462E0,9.155974388E0
6.973915927E0,4.527435303E-1,2.246728420E0,9.161843300E0
6.993914365E0,4.314542711E-1,2.244343758E0,9.164008141E0
7.013915927E0,4.537969828E-1,2.261505365E0,9.157610893E0
7.033914365E0,4.485201538E-1,2.269760609E0,9.172052383E0
7.053915927E0,4.840117991E-1,2.266906738E0,9.167753220E0
7.073915927E0,4.943355918E-1,2.280716419E0,9.168470383E0
7.093914365E0,4.897961915E-1,2.280228138E0,9.144701004E0
7.113917490E0,5.051861405E-1,2.246718884E0,9.137730598E0
7.133915927E0,4.929182231E-1,2.221828699E0,9.131724358E0
7.153914365E0,4.629907012E-1,2.253566265E0,9.188620567E0
7.173914365E0,4.626555145E-1,2.248155355E0,9.176727295E0
7.193915927E0,4.560571015E-1,2.266226768E0,9.169217110E0
7.213915927E0,4.799991250E-1,2.245559931E0,9.162916183E0
7.233914365E0,4.658350050E-1,2.193586588E0,9.179742813E0
7.253914365E0,4.588056505E-1,2.234393358E0,9.176802635E0
7.273915927E0,4.370088279E-1,2.255864620E0,9.155350685E0
7.293914365E0,4.644559622E-1,2.258316278E0,9.142095566E0
7.313915927E0,4.480796158E-1,2.272269726E0,9.159623146E0
7.333915927E0,4.511633515E-1,2.273093224E0,9.162505150E0
7.353914365E0,4.572159052E-1,2.247791290E0,9.170663834E0
7.373914365E0,4.806407690E-1,2.237735748E0,9.169408798E0
7.393914365E0,5.110567212E-1,2.230122089E0,9.153282166E0
7.413917490E0,5.364256501E-1,2.238090038E0,9.156701088E0
7.433914365E0,5.170134902E-1,2.232200384E0,9.136178017E0
7.453915927E0,4.619276822E-1,2.273811579E0,9.145468712E0
7.473915927E0,4.318565130E-1,2.284729242E0,9.175950050E0
7.493914365E0,4.291462600E-1,2.267519712E0,9.171583176E0
7.513915927E0,4.227585495E-1,2.251545429E0,9.169936180E0
7.533914365E0,4.458482265E-1,2.261179686E0,9.149806976E0
7.553915927E0,4.575127661E-1,2.234470129E0,9.143428802E0
7.573914365E0,4.697519243E-1,2.240886450E0,9.157485962E0
7.593914365E0,4.957816899E-1,2.237457991E0,9.145198822E0
7.613917490E0,4.905048609E-1,2.240024567E0,9.150170326E0
7.633915927E0,4.738795459E-1,2.243692398E0,9.174618721E0
7.653914365E0,4.697423577E-1,2.250156879E0,9.184685707E0
7.673914365E0,4.550706744E-1,2.246575117E0,9.167101860E0
7.693915927E0,4.571680129E-1,2.255768776E0,9.152640343E0
7.713915927E0,4.501577914E-1,2.281750679E0,9.143963814E0
7.733914365E0,4.626267850E-1,2.253642797E0,9.139739990E0
7.753914365E0,4.823933244E-1,2.244707584E0,9.162064552E0
7.773915927E0,4.837532341E-1,2.244774580E0,9.168145180E0
7.793914365E0,4.811100364E-1,2.256946802E0,9.174810410E0
7.813915927E0,4.571296871E-1,2.284623861E0,9.169906616E0
7.833915927E0,4.485009909E-1,2.274079800E0,9.147554398E0
7.853914365E0,4.422090352E-1,2.270584106E0,9.149153709E0
7.873914365E0,4.472272694E-1,2.245521784E0,9.147219658E0
7.893914365E0,4.718013704E-1,2.239449978E0,9.177233696E0
7.913917490E0,4.702403545E-1,2.256611586E0,9.181762695E0
7.933914365E0,4.758332074E-1,2.259187698E0,9.172722816E0
7.953915927E0,4.694359004E-1,2.262654543E0,9.163260460E0
7.973917490E0,4.611040652E-1,2.244487286E0,9.176171303E0
7.993914365E0,4.552622139E-1,2.259264469E0,9.153790474E0
8.013915927E0,4.341357946E-1,2.284441710E0,9.155599594E0
8.033914365E0,4.342698753E-1,2.284508944E0,9.144318581E0
8.053915927E0,4.605965018E-1,2.268745422E0,9.161546707E0
8.073914365E0,4.561624527E-1,2.254073858E0,9.178689003E0
8.093914365E0,4.679898024E-1,2.255452871E0,9.163059235E0
8.113917490E0,4.805641472E-1,2.242236853E0,9.169811249E0
8.133915927E0,4.905144572E-1,2.248548031E0,9.155733109E0
8.153914365E0,5.097063780E-1,2.239277601E0,9.135957718E0
8.173914365E0,4.996124208E-1,2.246536732E0,9.142584801E0
8.193915927E0,4.520635605E-1,2.274749994E0,9.157055855E0
8.213915927E0,4.055873156E-1,2.295081615E0,9.167780876E0
8.233914365E0,4.199621081E-1,2.281252861E0,9.176228523E0
8.253914365E0,4.071387649E-1,2.260643482E0,9.156786919E0
8.273915927E0,4.545439482E-1,2.254782438E0,9.147124290E0
8.293914365E0,4.842799604E-1,2.259025097E0,9.156289101E0
