"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.095811985E0,-5.433209985E-2,-6.407103688E-2,-5.864306353E-3
7.115810422E0,-5.049237609E-2,-5.651376024E-2,6.283185445E-3
7.135810422E0,-4.389503226E-2,-6.291911751E-2,1.410226058E-2
7.155810422E0,-4.441862926E-2,-7.944738865E-2,9.197885171E-3
7.175810422E0,-4.953244328E-2,-8.594001085E-2,5.480333697E-3
7.195810422E0,-4.958480224E-2,-7.283259183E-2,6.841690745E-3
7.215810422E0,-4.469788074E-2,-6.625270098E-2,1.017526910E-2
7.235811985E0,-3.803072497E-2,-6.934192777E-2,9.337511845E-3
7.255810422E0,-3.567453101E-2,-7.419394702E-2,9.372417815E-3
7.275810422E0,-2.808234841E-2,-5.707226694E-2,7.941247895E-3
7.295810422E0,-1.563815027E-2,-3.598868847E-2,-1.064650831E-3
7.315810422E0,-3.351032268E-3,-1.481784508E-2,-4.729842301E-3
7.335810422E0,7.068583276E-3,-4.956734832E-3,-7.923794910E-3
7.355810422E0,1.101302728E-2,3.438298590E-3,-7.906341925E-3
7.375811985E0,1.497492474E-2,1.984439418E-2,-1.021017600E-2
7.395810422E0,1.890191622E-2,3.056071512E-2,-1.385791413E-2
7.415810422E0,1.705186628E-2,3.307398781E-2,-1.818633080E-2
7.435810422E0,1.968731359E-2,3.103195317E-2,-2.277654596E-2
7.455811985E0,1.839577034E-2,2.239257470E-2,-2.274163999E-2
