"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.910543304E2,2.600035906E0,9.407498360E0,5.303730965E-1
3.910743320E2,2.603780508E0,9.398170471E0,5.344911218E-1
3.910943304E2,2.618902206E0,9.412286758E0,5.374599695E-1
3.911143304E2,2.659076929E0,9.369996071E0,5.617946386E-1
3.911343320E2,2.636437416E0,9.376718521E0,5.558761358E-1
3.911543304E2,2.650304556E0,9.377120018E0,5.378909111E-1
3.911743304E2,2.643121958E0,9.434476852E0,5.474389791E-1
3.911943304E2,2.591502905E0,9.409394264E0,5.634801388E-1
3.912143304E2,2.602267265E0,9.392980576E0,5.359659791E-1
3.912343304E2,2.614745855E0,9.394657135E0,5.349508524E-1
3.912543304E2,2.630049706E0,9.411865234E0,5.397105217E-1
3.912743320E2,2.624428034E0,9.398746490E0,5.270499587E-1
3.912943320E2,2.636561871E0,9.404826164E0,5.336866975E-1
3.913143304E2,2.612658024E0,9.387951851E0,5.364639759E-1
3.913343304E2,2.606184244E0,9.389885902E0,5.294058323E-1
3.913543320E2,2.627320290E0,9.403456688E0,5.238034129E-1
3.913743304E2,2.633478165E0,9.397816658E0,5.193310380E-1
3.913943304E2,2.622608423E0,9.383316994E0,5.310530663E-1
3.914143304E2,2.614008427E0,9.419661522E0,5.453704000E-1
3.914343320E2,2.608319759E0,9.406023026E0,5.321161151E-1
3.914543304E2,2.626056194E0,9.400440216E0,5.432443619E-1
3.914743304E2,2.613452911E0,9.392634392E0,5.423058271E-1
3.914943304E2,2.604833841E0,9.400421143E0,5.254697800E-1
3.915143304E2,2.613864899E0,9.405046463E0,5.383123159E-1
3.915343304E2,2.626448631E0,9.398879051E0,5.180764794E-1
3.915543304E2,2.628009796E0,9.410602570E0,5.348454714E-1
3.915743320E2,2.611422777E0,9.402231216E0,5.446425676E-1
3.915943304E2,2.629053593E0,9.408043861E0,5.372779965E-1
3.916143304E2,2.623910904E0,9.380042076E0,5.352189541E-1
3.916343320E2,2.630566835E0,9.405947685E0,5.358223319E-1
3.916543304E2,2.623882055E0,9.379553795E0,5.328534842E-1
3.916743304E2,2.622982025E0,9.365073204E0,5.456098318E-1
3.916943304E2,2.626946688E0,9.397586823E0,5.244642496E-1
3.917143320E2,2.646196127E0,9.412891388E0,5.244355202E-1
3.917343304E2,2.660034657E0,9.407210350E0,5.507621169E-1
3.917543304E2,2.637126923E0,9.378499031E0,5.447383523E-1
3.917743320E2,2.606567383E0,9.394578934E0,5.220508575E-1
3.917943320E2,2.625328302E0,9.388976097E0,5.571881533E-1
3.918143304E2,2.644022226E0,9.401235580E0,5.443935394E-1
3.918343304E2,2.659718513E0,9.391189575E0,5.494980216E-1
3.918543320E2,2.673250675E0,9.370502472E0,5.369332433E-1
3.918743304E2,2.652009249E0,9.386946678E0,5.198482275E-1
3.918943304E2,2.612725258E0,9.402393341E0,5.514804125E-1
3.919143304E2,2.595477343E0,9.390422821E0,5.649836659E-1
3.919343320E2,2.619448185E0,9.388900757E0,5.348837972E-1
3.919543304E2,2.627856493E0,9.373174667E0,5.354009271E-1
3.919743304E2,2.644137144E0,9.402843475E0,5.359468460E-1
3.919943304E2,2.620233297E0,9.389513969E0,5.327577591E-1
3.920143304E2,2.630882740E0,9.395250320E0,5.208633542E-1
3.920343304E2,2.615751505E0,9.387587547E0,5.338782072E-1
3.920543304E2,2.611374855E0,9.401570320E0,5.379292369E-1
3.920743320E2,2.631601095E0,9.402126312E0,5.063257813E-1
3.920943304E2,2.640670300E0,9.414940834E0,5.171188116E-1
3.921143304E2,2.633535624E0,9.397547722E0,5.240811706E-1
3.921343320E2,2.628651381E0,9.407546043E0,5.344911218E-1
3.921543304E2,2.615138531E0,9.403840065E0,5.530318618E-1
3.921743304E2,2.604441166E0,9.397682190E0,5.342421532E-1
3.921943304E2,2.622273207E0,9.399598122E0,5.349412560E-1
3.922143320E2,2.609928846E0,9.426097870E0,5.421238542E-1
3.922343304E2,2.604968071E0,9.403284073E0,5.370481610E-1
3.922543304E2,2.594519615E0,9.403849602E0,5.131061077E-1
3.922743320E2,2.623451233E0,9.402997017E0,5.407065153E-1
3.922943320E2,2.618318081E0,9.409939766E0,5.279597640E-1
3.923143304E2,2.624064207E0,9.384151459E0,5.276820064E-1
3.923343304E2,2.624897242E0,9.406924248E0,5.306412578E-1
3.923543320E2,2.637825966E0,9.403764725E0,5.195417404E-1
3.923743304E2,2.622388124E0,9.391678810E0,5.437518954E-1
3.923943304E2,2.625395298E0,9.386802673E0,5.417982340E-1
3.924143304E2,2.626889229E0,9.389828682E0,5.248760581E-1
3.924343320E2,2.616421700E0,9.404127121E0,5.282374620E-1
3.924543304E2,2.642940044E0,9.412392616E0,5.556463003E-1
3.924743304E2,2.639971256E0,9.393238068E0,5.459258556E-1
3.924943304E2,2.627214909E0,9.398027420E0,5.485307574E-1
3.925143304E2,2.604326248E0,9.403774261E0,5.472378731E-1
3.925343304E2,2.631083965E0,9.409615517E0,5.454661846E-1
3.925543289E2,2.647115469E0,9.396723747E0,5.457630157E-1
3.925743320E2,2.657027483E0,9.387809753E0,5.532712340E-1
3.925943304E2,2.622378588E0,9.417200089E0,5.359180570E-1
3.926143304E2,2.616374016E0,9.409003258E0,5.539608002E-1
3.926343320E2,2.595774174E0,9.407537460E0,5.541427732E-1
3.926543304E2,2.607180119E0,9.397166252E0,5.302294493E-1
3.926743304E2,2.611623764E0,9.407948494E0,5.358318686E-1
3.926943304E2,2.633487701E0,9.408005714E0,5.452938080E-1
3.927143320E2,2.624408960E0,9.401877403E0,5.362915993E-1
3.927343304E2,2.631754398E0,9.421375275E0,5.450447798E-1
3.927543304E2,2.620405674E0,9.408742905E0,5.534436703E-1
3.927743320E2,2.612342119E0,9.372724533E0,5.390305519E-1
3.927943320E2,2.615540743E0,9.386754990E0,5.232384205E-1
3.928143304E2,2.611997366E0,9.393754959E0,5.383505821E-1
3.928343304E2,2.600198746E0,9.409854889E0,5.346443653E-1
3.928543320E2,2.602928162E0,9.399435997E0,5.409171581E-1
3.928743304E2,2.607438803E0,9.379458427E0,5.626565218E-1
3.928943304E2,2.610053301E0,9.400822639E0,5.430815220E-1
3.929143304E2,2.600304127E0,9.397290230E0,5.456864238E-1
3.929343320E2,2.603445292E0,9.402431488E0,5.399786234E-1
3.929543304E2,2.606758833E0,9.425014496E0,5.320203304E-1
3.929743304E2,2.609401941E0,9.405448914E0,5.496224761E-1
3.929943304E2,2.578219891E0,9.414604187E0,5.495075583E-1
3.930143304E2,2.578497648E0,9.403084755E0,5.371726751E-1
3.930343304E2,2.593418360E0,9.443861008E0,5.435987115E-1
3.930543304E2,2.602296114E0,9.402135849E0,5.345869064E-1
3.930743320E2,2.627080917E0,9.367381096E0,5.438093543E-1
3.930943304E2,2.642748356E0,9.354786873E0,5.537692308E-1
3.931143304E2,2.635518074E0,9.392960548E0,5.570157766E-1
3.931343320E2,2.627214909E0,9.404520035E0,5.618041754E-1
3.931543304E2,2.607745171E0,9.417670250E0,5.388485789E-1
